8-1, time: 2729, pathlen: 9364, saved: 16
104-2, time: 2576, pathlen: 9374, saved: 6
105-2, time: 2475, pathlen: 9376, saved: 4
106-2, time: 2713, pathlen: 9378, saved: 2
108-2, time: 2557, pathlen: 9054, saved: 326
110-2, time: 2540, pathlen: 9378, saved: 2
111-2, time: 2469, pathlen: 9376, saved: 4
112-2, time: 2573, pathlen: 9374, saved: 6
113-2, time: 2627, pathlen: 9372, saved: 8
114-2, time: 2505, pathlen: 9370, saved: 10
115-2, time: 2528, pathlen: 9368, saved: 12
116-2, time: 2573, pathlen: 9380, saved: 0
117-2, time: 2537, pathlen: 9372, saved: 8
118-2, time: 2591, pathlen: 9374, saved: 6
119-2, time: 2508, pathlen: 9376, saved: 4
120-2, time: 2675, pathlen: 9378, saved: 2
122-2, time: 2502, pathlen: 9334, saved: 46
124-2, time: 2505, pathlen: 9378, saved: 2
126-2, time: 2515, pathlen: 9378, saved: 2
128-2, time: 2621, pathlen: 9380, saved: 0
129-2, time: 2564, pathlen: 9376, saved: 4
130-2, time: 2552, pathlen: 9378, saved: 2
132-2, time: 2437, pathlen: 9334, saved: 46
134-2, time: 2665, pathlen: 9378, saved: 2
135-2, time: 2507, pathlen: 9376, saved: 4
136-2, time: 2535, pathlen: 9380, saved: 0
138-2, time: 2514, pathlen: 9380, saved: 0
139-2, time: 2630, pathlen: 9380, saved: 0
6-3, time: 2620, pathlen: 9368, saved: 12
8-3, time: 2434, pathlen: 9368, saved: 12
12-3, time: 2569, pathlen: 9372, saved: 8
14-3, time: 2597, pathlen: 9216, saved: 164
20-3, time: 2522, pathlen: 9368, saved: 12
22-3, time: 2545, pathlen: 9376, saved: 4
24-3, time: 2463, pathlen: 9372, saved: 8
28-3, time: 2655, pathlen: 9360, saved: 20
30-3, time: 2491, pathlen: 9376, saved: 4
32-3, time: 2519, pathlen: 8924, saved: 456
38-3, time: 2458, pathlen: 9368, saved: 12
40-3, time: 2574, pathlen: 9364, saved: 16
44-3, time: 2485, pathlen: 9376, saved: 4
46-3, time: 2454, pathlen: 9284, saved: 96
50-3, time: 2496, pathlen: 9376, saved: 4
56-3, time: 2789, pathlen: 9376, saved: 4
60-3, time: 2570, pathlen: 9376, saved: 4
64-3, time: 2603, pathlen: 9376, saved: 4
68-3, time: 2362, pathlen: 8812, saved: 568
70-3, time: 2586, pathlen: 9376, saved: 4
72-3, time: 2437, pathlen: 9348, saved: 32
74-3, time: 2544, pathlen: 9376, saved: 4
78-3, time: 2515, pathlen: 9348, saved: 32
88-3, time: 2721, pathlen: 9000, saved: 380
92-3, time: 2760, pathlen: 9376, saved: 4
94-3, time: 2671, pathlen: 9376, saved: 4
98-3, time: 2635, pathlen: 9360, saved: 20
108-3, time: 2838, pathlen: 9056, saved: 324
116-3, time: 2850, pathlen: 9356, saved: 24
122-3, time: 2773, pathlen: 9336, saved: 44
124-3, time: 2664, pathlen: 9376, saved: 4
128-3, time: 2966, pathlen: 9372, saved: 8
132-3, time: 2727, pathlen: 9336, saved: 44
136-3, time: 2707, pathlen: 9372, saved: 8
1-4, time: 2648, pathlen: 9372, saved: 8
2-4, time: 2974, pathlen: 9374, saved: 6
3-4, time: 2673, pathlen: 9376, saved: 4
4-4, time: 2854, pathlen: 9378, saved: 2
6-4, time: 2797, pathlen: 9366, saved: 14
8-4, time: 2858, pathlen: 9380, saved: 0
9-4, time: 2886, pathlen: 9372, saved: 8
10-4, time: 2846, pathlen: 9380, saved: 0
12-4, time: 2869, pathlen: 9370, saved: 10
14-4, time: 2914, pathlen: 9380, saved: 0
15-4, time: 2864, pathlen: 9380, saved: 0
16-4, time: 2894, pathlen: 9380, saved: 0
17-4, time: 2871, pathlen: 9376, saved: 4
18-4, time: 2925, pathlen: 9378, saved: 2
20-4, time: 2829, pathlen: 9366, saved: 14
22-4, time: 2763, pathlen: 9378, saved: 2
24-4, time: 2753, pathlen: 9370, saved: 10
26-4, time: 3037, pathlen: 9378, saved: 2
27-4, time: 2866, pathlen: 9376, saved: 4
28-4, time: 2913, pathlen: 9380, saved: 0
30-4, time: 2759, pathlen: 9374, saved: 6
32-4, time: 2917, pathlen: 9380, saved: 0
33-4, time: 2863, pathlen: 9372, saved: 8
34-4, time: 2718, pathlen: 9374, saved: 6
35-4, time: 2867, pathlen: 9376, saved: 4
36-4, time: 3297, pathlen: 9378, saved: 2
38-4, time: 3846, pathlen: 9366, saved: 14
40-4, time: 3759, pathlen: 9366, saved: 14
42-4, time: 3531, pathlen: 9378, saved: 2
43-4, time: 3899, pathlen: 9376, saved: 4
44-4, time: 3715, pathlen: 9380, saved: 0
46-4, time: 2686, pathlen: 9286, saved: 94
48-4, time: 2917, pathlen: 9378, saved: 2
49-4, time: 2975, pathlen: 9376, saved: 4
50-4, time: 3073, pathlen: 9380, saved: 0
51-4, time: 3607, pathlen: 9368, saved: 12
52-4, time: 3780, pathlen: 9366, saved: 14
53-4, time: 4060, pathlen: 9364, saved: 16
54-4, time: 3725, pathlen: 9362, saved: 18
55-4, time: 3479, pathlen: 9360, saved: 20
56-4, time: 3865, pathlen: 9380, saved: 0
57-4, time: 4034, pathlen: 9352, saved: 28
58-4, time: 3878, pathlen: 9380, saved: 0
59-4, time: 3463, pathlen: 9356, saved: 24
60-4, time: 3681, pathlen: 9380, saved: 0
61-4, time: 3887, pathlen: 9364, saved: 16
62-4, time: 3610, pathlen: 9366, saved: 14
63-4, time: 3490, pathlen: 9368, saved: 12
64-4, time: 3492, pathlen: 9380, saved: 0
65-4, time: 3773, pathlen: 9376, saved: 4
66-4, time: 3833, pathlen: 9378, saved: 2
68-4, time: 3480, pathlen: 8814, saved: 566
70-4, time: 3367, pathlen: 9374, saved: 6
72-4, time: 3725, pathlen: 9350, saved: 30
74-4, time: 3678, pathlen: 9378, saved: 2
76-4, time: 3580, pathlen: 9378, saved: 2
78-4, time: 4120, pathlen: 9346, saved: 34
80-4, time: 3849, pathlen: 9380, saved: 0
81-4, time: 2835, pathlen: 9372, saved: 8
82-4, time: 2820, pathlen: 9370, saved: 10
83-4, time: 2829, pathlen: 9368, saved: 12
84-4, time: 2869, pathlen: 9380, saved: 0
85-4, time: 2845, pathlen: 9360, saved: 20
86-4, time: 2885, pathlen: 9358, saved: 22
87-4, time: 2780, pathlen: 9356, saved: 24
88-4, time: 2904, pathlen: 9380, saved: 0
90-4, time: 2942, pathlen: 9378, saved: 2
91-4, time: 2730, pathlen: 9376, saved: 4
92-4, time: 2854, pathlen: 9380, saved: 0
94-4, time: 2888, pathlen: 9378, saved: 2
96-4, time: 2824, pathlen: 9380, saved: 0
97-4, time: 2838, pathlen: 9356, saved: 24
98-4, time: 2661, pathlen: 9380, saved: 0
100-4, time: 3009, pathlen: 9380, saved: 0
101-4, time: 2738, pathlen: 9100, saved: 280
102-4, time: 2760, pathlen: 9098, saved: 282
103-4, time: 2763, pathlen: 9096, saved: 284
104-4, time: 2869, pathlen: 9094, saved: 286
105-4, time: 2845, pathlen: 9092, saved: 288
106-4, time: 2733, pathlen: 9090, saved: 290
107-4, time: 2872, pathlen: 9088, saved: 292
108-4, time: 2899, pathlen: 9380, saved: 0
109-4, time: 2865, pathlen: 9356, saved: 24
110-4, time: 2699, pathlen: 9358, saved: 22
111-4, time: 2720, pathlen: 9360, saved: 20
112-4, time: 2908, pathlen: 9380, saved: 0
113-4, time: 2896, pathlen: 9380, saved: 0
114-4, time: 2785, pathlen: 9380, saved: 0
116-4, time: 2704, pathlen: 9354, saved: 26
118-4, time: 2981, pathlen: 9378, saved: 2
119-4, time: 2731, pathlen: 9376, saved: 4
120-4, time: 2809, pathlen: 9380, saved: 0
121-4, time: 2691, pathlen: 9340, saved: 40
122-4, time: 2897, pathlen: 9380, saved: 0
124-4, time: 2953, pathlen: 9380, saved: 0
125-4, time: 2831, pathlen: 9364, saved: 16
126-4, time: 2849, pathlen: 9366, saved: 14
127-4, time: 2816, pathlen: 9368, saved: 12
128-4, time: 2846, pathlen: 9380, saved: 0
130-4, time: 2879, pathlen: 9380, saved: 0
131-4, time: 2753, pathlen: 9348, saved: 32
132-4, time: 2984, pathlen: 9380, saved: 0
133-4, time: 2782, pathlen: 9372, saved: 8
134-4, time: 2937, pathlen: 9380, saved: 0
136-4, time: 2744, pathlen: 9380, saved: 0
137-4, time: 2840, pathlen: 9376, saved: 4
138-4, time: 2741, pathlen: 9378, saved: 2
6-5, time: 2831, pathlen: 9364, saved: 16
10-5, time: 2854, pathlen: 9376, saved: 4
12-5, time: 2937, pathlen: 9368, saved: 12
14-5, time: 2913, pathlen: 9380, saved: 0
15-5, time: 2655, pathlen: 9380, saved: 0
16-5, time: 2745, pathlen: 9380, saved: 0
20-5, time: 2907, pathlen: 9364, saved: 16
24-5, time: 2808, pathlen: 9368, saved: 12
28-5, time: 2804, pathlen: 9368, saved: 12
30-5, time: 2723, pathlen: 9372, saved: 8
32-5, time: 2801, pathlen: 8936, saved: 444
38-5, time: 2752, pathlen: 9364, saved: 16
40-5, time: 2799, pathlen: 9368, saved: 12
44-5, time: 2747, pathlen: 9368, saved: 12
46-5, time: 2909, pathlen: 9288, saved: 92
58-5, time: 2874, pathlen: 9324, saved: 56
68-5, time: 2702, pathlen: 8816, saved: 564
70-5, time: 2708, pathlen: 9372, saved: 8
72-5, time: 2833, pathlen: 9352, saved: 28
76-5, time: 2876, pathlen: 9376, saved: 4
78-5, time: 2819, pathlen: 9344, saved: 36
80-5, time: 2800, pathlen: 9376, saved: 4
84-5, time: 2913, pathlen: 9376, saved: 4
88-5, time: 2890, pathlen: 9028, saved: 352
92-5, time: 2602, pathlen: 9368, saved: 12
96-5, time: 2824, pathlen: 9352, saved: 28
100-5, time: 2770, pathlen: 9104, saved: 276
108-5, time: 2819, pathlen: 9376, saved: 4
112-5, time: 2840, pathlen: 9380, saved: 0
113-5, time: 2691, pathlen: 9380, saved: 0
114-5, time: 2983, pathlen: 9380, saved: 0
116-5, time: 2803, pathlen: 9352, saved: 28
120-5, time: 2847, pathlen: 9348, saved: 32
124-5, time: 2755, pathlen: 9356, saved: 24
130-5, time: 2845, pathlen: 9352, saved: 28
134-5, time: 2880, pathlen: 9376, saved: 4
136-5, time: 2686, pathlen: 9364, saved: 16
2-6, time: 2881, pathlen: 9380, saved: 0
3-6, time: 2852, pathlen: 9372, saved: 8
4-6, time: 2801, pathlen: 9370, saved: 10
5-6, time: 2746, pathlen: 9368, saved: 12
6-6, time: 2841, pathlen: 9380, saved: 0
7-6, time: 2817, pathlen: 9348, saved: 32
8-6, time: 2815, pathlen: 9380, saved: 0
10-6, time: 2913, pathlen: 9378, saved: 2
12-6, time: 2685, pathlen: 9366, saved: 14
14-6, time: 3003, pathlen: 9380, saved: 0
15-6, time: 2797, pathlen: 9380, saved: 0
16-6, time: 2771, pathlen: 9380, saved: 0
18-6, time: 2655, pathlen: 9378, saved: 2
19-6, time: 3146, pathlen: 9376, saved: 4
20-6, time: 2853, pathlen: 9380, saved: 0
21-6, time: 2784, pathlen: 9356, saved: 24
22-6, time: 2767, pathlen: 9354, saved: 26
23-6, time: 2887, pathlen: 9352, saved: 28
24-6, time: 2770, pathlen: 9380, saved: 0
25-6, time: 2781, pathlen: 9336, saved: 44
26-6, time: 2719, pathlen: 9380, saved: 0
28-6, time: 2935, pathlen: 9370, saved: 10
30-6, time: 2766, pathlen: 9370, saved: 10
32-6, time: 2817, pathlen: 8938, saved: 442
34-6, time: 2749, pathlen: 9378, saved: 2
35-6, time: 2859, pathlen: 9376, saved: 4
36-6, time: 2851, pathlen: 9374, saved: 6
37-6, time: 2806, pathlen: 9372, saved: 8
38-6, time: 2770, pathlen: 9380, saved: 0
40-6, time: 2983, pathlen: 9380, saved: 0
41-6, time: 2887, pathlen: 9372, saved: 8
42-6, time: 2636, pathlen: 9380, saved: 0
44-6, time: 2846, pathlen: 9366, saved: 14
46-6, time: 2840, pathlen: 9380, saved: 0
47-6, time: 2770, pathlen: 9296, saved: 84
48-6, time: 2827, pathlen: 9298, saved: 82
49-6, time: 2860, pathlen: 9300, saved: 80
50-6, time: 2883, pathlen: 9302, saved: 78
51-6, time: 2845, pathlen: 9304, saved: 76
52-6, time: 2840, pathlen: 9380, saved: 0
53-6, time: 2709, pathlen: 9380, saved: 0
54-6, time: 2994, pathlen: 9380, saved: 0
55-6, time: 2984, pathlen: 9376, saved: 4
56-6, time: 2805, pathlen: 9378, saved: 2
58-6, time: 2879, pathlen: 9322, saved: 58
60-6, time: 2999, pathlen: 9378, saved: 2
61-6, time: 2900, pathlen: 9376, saved: 4
62-6, time: 2919, pathlen: 9380, saved: 0
63-6, time: 2603, pathlen: 8832, saved: 548
64-6, time: 2896, pathlen: 8830, saved: 550
65-6, time: 2745, pathlen: 8828, saved: 552
66-6, time: 2858, pathlen: 9380, saved: 0
67-6, time: 2597, pathlen: 8820, saved: 560
68-6, time: 2932, pathlen: 9380, saved: 0
70-6, time: 2899, pathlen: 9370, saved: 10
72-6, time: 2821, pathlen: 9380, saved: 0
73-6, time: 2738, pathlen: 9380, saved: 0
74-6, time: 2876, pathlen: 9380, saved: 0
75-6, time: 2751, pathlen: 9372, saved: 8
76-6, time: 2794, pathlen: 9380, saved: 0
78-6, time: 2756, pathlen: 9342, saved: 38
80-6, time: 2941, pathlen: 9378, saved: 2
82-6, time: 2730, pathlen: 9378, saved: 2
84-6, time: 2787, pathlen: 9378, saved: 2
86-6, time: 2687, pathlen: 9378, saved: 2
88-6, time: 2855, pathlen: 9380, saved: 0
89-6, time: 2790, pathlen: 9032, saved: 348
90-6, time: 2818, pathlen: 9380, saved: 0
92-6, time: 2757, pathlen: 9380, saved: 0
93-6, time: 2909, pathlen: 9364, saved: 16
94-6, time: 2799, pathlen: 9362, saved: 18
95-6, time: 2823, pathlen: 9360, saved: 20
96-6, time: 2796, pathlen: 9380, saved: 0
98-6, time: 2919, pathlen: 9380, saved: 0
99-6, time: 2820, pathlen: 9380, saved: 0
100-6, time: 2899, pathlen: 9380, saved: 0
102-6, time: 2683, pathlen: 9378, saved: 2
103-6, time: 2911, pathlen: 9376, saved: 4
104-6, time: 2794, pathlen: 9374, saved: 6
105-6, time: 2758, pathlen: 9372, saved: 8
106-6, time: 2830, pathlen: 9380, saved: 0
108-6, time: 2890, pathlen: 9378, saved: 2
110-6, time: 2847, pathlen: 9378, saved: 2
112-6, time: 2819, pathlen: 9380, saved: 0
113-6, time: 2725, pathlen: 9380, saved: 0
114-6, time: 3007, pathlen: 9380, saved: 0
116-6, time: 2743, pathlen: 9380, saved: 0
117-6, time: 2850, pathlen: 9376, saved: 4
118-6, time: 2564, pathlen: 9378, saved: 2
120-6, time: 2635, pathlen: 9350, saved: 30
122-6, time: 2549, pathlen: 9380, saved: 0
123-6, time: 2626, pathlen: 9352, saved: 28
124-6, time: 2527, pathlen: 9380, saved: 0
126-6, time: 2730, pathlen: 9380, saved: 0
127-6, time: 2565, pathlen: 9364, saved: 16
128-6, time: 2471, pathlen: 9362, saved: 18
129-6, time: 2480, pathlen: 9360, saved: 20
130-6, time: 2642, pathlen: 9380, saved: 0
132-6, time: 2585, pathlen: 9378, saved: 2
134-6, time: 2582, pathlen: 9378, saved: 2
136-6, time: 2448, pathlen: 9362, saved: 18
138-6, time: 2619, pathlen: 9378, saved: 2
139-6, time: 2506, pathlen: 9376, saved: 4
2-7, time: 2531, pathlen: 9376, saved: 4
8-7, time: 2501, pathlen: 9344, saved: 36
12-7, time: 2577, pathlen: 9364, saved: 16
16-7, time: 2576, pathlen: 9232, saved: 148
26-7, time: 2522, pathlen: 9332, saved: 48
28-7, time: 2492, pathlen: 9372, saved: 8
30-7, time: 2574, pathlen: 9368, saved: 12
32-7, time: 2441, pathlen: 8940, saved: 440
38-7, time: 2501, pathlen: 9352, saved: 28
42-7, time: 2467, pathlen: 9376, saved: 4
44-7, time: 2628, pathlen: 9364, saved: 16
46-7, time: 2568, pathlen: 9376, saved: 4
52-7, time: 2448, pathlen: 9380, saved: 0
53-7, time: 2552, pathlen: 9380, saved: 0
54-7, time: 2567, pathlen: 9380, saved: 0
58-7, time: 2593, pathlen: 9320, saved: 60
62-7, time: 2450, pathlen: 8840, saved: 540
66-7, time: 2580, pathlen: 9376, saved: 4
70-7, time: 2604, pathlen: 9368, saved: 12
72-7, time: 2514, pathlen: 9380, saved: 0
73-7, time: 2525, pathlen: 9380, saved: 0
74-7, time: 2456, pathlen: 9380, saved: 0
78-7, time: 2615, pathlen: 9340, saved: 40
82-7, time: 2448, pathlen: 9376, saved: 4
86-7, time: 2488, pathlen: 9376, saved: 4
90-7, time: 2443, pathlen: 9036, saved: 344
96-7, time: 2663, pathlen: 9328, saved: 52
98-7, time: 2460, pathlen: 9380, saved: 0
99-7, time: 2530, pathlen: 9380, saved: 0
100-7, time: 2453, pathlen: 9380, saved: 0
106-7, time: 2650, pathlen: 9368, saved: 12
110-7, time: 2606, pathlen: 9376, saved: 4
114-7, time: 2452, pathlen: 9372, saved: 8
116-7, time: 2573, pathlen: 9344, saved: 36
120-7, time: 2580, pathlen: 9352, saved: 28
122-7, time: 2612, pathlen: 9348, saved: 32
126-7, time: 2497, pathlen: 9368, saved: 12
130-7, time: 2389, pathlen: 9376, saved: 4
132-7, time: 2608, pathlen: 9376, saved: 4
136-7, time: 2472, pathlen: 9360, saved: 20
2-8, time: 2560, pathlen: 9378, saved: 2
4-8, time: 2323, pathlen: 9380, saved: 0
5-8, time: 2599, pathlen: 9380, saved: 0
6-8, time: 2606, pathlen: 9380, saved: 0
8-8, time: 2489, pathlen: 9380, saved: 0
9-8, time: 2454, pathlen: 9340, saved: 40
10-8, time: 2603, pathlen: 9338, saved: 42
11-8, time: 2634, pathlen: 9336, saved: 44
12-8, time: 2510, pathlen: 9380, saved: 0
13-8, time: 2419, pathlen: 9376, saved: 4
14-8, time: 2557, pathlen: 9378, saved: 2
16-8, time: 2486, pathlen: 9380, saved: 0
17-8, time: 2498, pathlen: 9380, saved: 0
18-8, time: 2435, pathlen: 9380, saved: 0
19-8, time: 2574, pathlen: 9352, saved: 28
20-8, time: 2461, pathlen: 9354, saved: 26
21-8, time: 2534, pathlen: 9356, saved: 24
22-8, time: 2483, pathlen: 9380, saved: 0
23-8, time: 2584, pathlen: 9380, saved: 0
24-8, time: 2577, pathlen: 9380, saved: 0
26-8, time: 2465, pathlen: 9330, saved: 50
28-8, time: 2522, pathlen: 9374, saved: 6
30-8, time: 2506, pathlen: 9366, saved: 14
32-8, time: 2462, pathlen: 9380, saved: 0
33-8, time: 2516, pathlen: 8948, saved: 432
34-8, time: 2397, pathlen: 8950, saved: 430
35-8, time: 2667, pathlen: 8952, saved: 428
36-8, time: 2502, pathlen: 9380, saved: 0
38-8, time: 2514, pathlen: 9380, saved: 0
39-8, time: 2393, pathlen: 9348, saved: 32
40-8, time: 2670, pathlen: 9380, saved: 0
42-8, time: 2520, pathlen: 9378, saved: 2
44-8, time: 2403, pathlen: 9362, saved: 18
46-8, time: 2551, pathlen: 9378, saved: 2
48-8, time: 2501, pathlen: 9380, saved: 0
49-8, time: 2478, pathlen: 9376, saved: 4
50-8, time: 2460, pathlen: 9378, saved: 2
52-8, time: 2416, pathlen: 9380, saved: 0
53-8, time: 2641, pathlen: 9380, saved: 0
54-8, time: 2535, pathlen: 9380, saved: 0
56-8, time: 2588, pathlen: 9380, saved: 0
57-8, time: 2459, pathlen: 9312, saved: 68
58-8, time: 2563, pathlen: 9380, saved: 0
59-8, time: 2499, pathlen: 9376, saved: 4
60-8, time: 2499, pathlen: 9378, saved: 2
62-8, time: 2400, pathlen: 8842, saved: 538
64-8, time: 2634, pathlen: 9378, saved: 2
66-8, time: 2528, pathlen: 9378, saved: 2
68-8, time: 2525, pathlen: 9380, saved: 0
69-8, time: 2353, pathlen: 9364, saved: 16
70-8, time: 2591, pathlen: 9380, saved: 0
72-8, time: 2598, pathlen: 9380, saved: 0
73-8, time: 2480, pathlen: 9380, saved: 0
74-8, time: 2546, pathlen: 9380, saved: 0
76-8, time: 2489, pathlen: 9380, saved: 0
77-8, time: 2516, pathlen: 9308, saved: 72
78-8, time: 2518, pathlen: 9380, saved: 0
79-8, time: 2409, pathlen: 9352, saved: 28
80-8, time: 2643, pathlen: 9354, saved: 26
81-8, time: 2519, pathlen: 9356, saved: 24
82-8, time: 2508, pathlen: 9380, saved: 0
83-8, time: 2447, pathlen: 9364, saved: 16
84-8, time: 2513, pathlen: 9366, saved: 14
85-8, time: 2476, pathlen: 9368, saved: 12
86-8, time: 2459, pathlen: 9380, saved: 0
87-8, time: 2442, pathlen: 9376, saved: 4
88-8, time: 2599, pathlen: 9378, saved: 2
90-8, time: 2443, pathlen: 9380, saved: 0
91-8, time: 2505, pathlen: 9380, saved: 0
92-8, time: 2468, pathlen: 9380, saved: 0
93-8, time: 2584, pathlen: 9376, saved: 4
94-8, time: 2556, pathlen: 9378, saved: 2
96-8, time: 2442, pathlen: 9326, saved: 54
98-8, time: 2513, pathlen: 9380, saved: 0
99-8, time: 2540, pathlen: 9380, saved: 0
100-8, time: 2487, pathlen: 9380, saved: 0
101-8, time: 2512, pathlen: 9116, saved: 264
102-8, time: 2529, pathlen: 9380, saved: 0
103-8, time: 2651, pathlen: 9380, saved: 0
104-8, time: 2474, pathlen: 9380, saved: 0
106-8, time: 2483, pathlen: 9380, saved: 0
107-8, time: 2436, pathlen: 9364, saved: 16
108-8, time: 2614, pathlen: 9362, saved: 18
109-8, time: 2539, pathlen: 9360, saved: 20
110-8, time: 2513, pathlen: 9380, saved: 0
111-8, time: 2477, pathlen: 9352, saved: 28
112-8, time: 2605, pathlen: 9380, saved: 0
114-8, time: 2449, pathlen: 9374, saved: 6
116-8, time: 2657, pathlen: 9342, saved: 38
118-8, time: 2414, pathlen: 9380, saved: 0
119-8, time: 2566, pathlen: 9356, saved: 24
120-8, time: 2506, pathlen: 9380, saved: 0
122-8, time: 2527, pathlen: 9346, saved: 34
124-8, time: 2575, pathlen: 9378, saved: 2
125-8, time: 2517, pathlen: 9376, saved: 4
126-8, time: 2543, pathlen: 9380, saved: 0
128-8, time: 2448, pathlen: 9378, saved: 2
130-8, time: 2547, pathlen: 9378, saved: 2
132-8, time: 2513, pathlen: 9380, saved: 0
133-8, time: 2572, pathlen: 9348, saved: 32
134-8, time: 2446, pathlen: 9350, saved: 30
135-8, time: 2465, pathlen: 9352, saved: 28
136-8, time: 2559, pathlen: 9380, saved: 0
137-8, time: 2484, pathlen: 9376, saved: 4
138-8, time: 2512, pathlen: 9378, saved: 2
